stream,department,role,technical_skills,core_skills
Engineering,Computer Science,Frontend Developer,HTML|CSS|JavaScript|React|NextJS,Creativity|UI Thinking|Problem Solving
Engineering,Computer Science,Backend Developer,Python|Java|SQL|APIs|NodeJS,Logic Building|Debugging
Engineering,Computer Science,Full Stack Developer,HTML|CSS|JavaScript|Python|SQL|React,System Thinking|Problem Solving
Engineering,Computer Science,Data Analyst,Python|SQL|Excel|Power BI|Tableau,Analytical Thinking|Attention to Detail
Engineering,Computer Science,Data Scientist,Python|Statistics|Machine Learning|EDA,Research Mindset|Critical Thinking
Engineering,Computer Science,ML Engineer,Python|NumPy|Pandas|TensorFlow|PyTorch,Math Skills|Model Optimization
Engineering,Computer Science,AI Engineer,Deep Learning|Neural Networks|TensorFlow,Logical Reasoning

Engineering,Electronics,Embedded Engineer,C|Embedded C|Microcontrollers|RTOS,Debugging|Hardware Knowledge
Engineering,Electronics,VLSI Engineer,Verilog|VHDL|FPGA,Analytical Thinking
Engineering,Electrical,Electrical Engineer,Power Systems|MATLAB|SCADA,Troubleshooting|Safety Awareness
Engineering,Electrical,Control Systems Engineer,PLC|Automation|MATLAB,Precision|Logical Thinking
Engineering,Mechanical,Mechanical Engineer,AutoCAD|SolidWorks|Manufacturing,Problem Solving
Engineering,Mechanical,Design Engineer,SolidWorks|CATIA|ANSYS,Creativity|Visualization
Engineering,Civil,Site Engineer,AutoCAD|Estimation|Surveying,Planning|Execution
Engineering,Civil,Structural Engineer,STAAD Pro|ETABS|AutoCAD,Attention to Detail

Medical,MBBS,Medical Officer,Clinical Diagnosis|Patient Care|Medical Records,Decision Making|Empathy
Medical,MBBS,Surgeon,Surgical Procedures|Anatomy|Operation Tools,Precision|Focus
Medical,MBBS,Radiologist,Imaging|CT Scan|MRI,Observation Skills
Medical,Nursing,Staff Nurse,Patient Care|Vitals Monitoring|Medication,Compassion|Attention to Detail
Medical,Physiotherapy,Physiotherapist,Rehabilitation|Exercise Therapy,Communication|Patience

Pharmacy,B.Pharmacy,Pharmacist,Drug Dispensing|Pharmacology|Prescription Analysis,Accuracy|Responsibility
Pharmacy,M.Pharmacy,Clinical Pharmacist,Clinical Trials|Drug Safety|Documentation,Analytical Thinking
Pharmacy,Pharm.D,Drug Safety Associate,Pharmacovigilance|Reporting|Medical Coding,Attention to Detail

UG,B.Sc,Lab Assistant,Lab Equipment|Sample Analysis|Data Recording,Observation Skills
UG,B.Sc,Biotech Analyst,Biology|Lab Analysis|Documentation,Research Mindset
UG,B.Com,Account Executive,Tally|Excel|GST|Accounting,Attention to Detail
UG,B.Com,Audit Assistant,Auditing|Compliance|Excel,Integrity
UG,B.A,Content Writer,Writing|SEO|Editing,Creativity|Communication
UG,B.A,Digital Marketer,SEO|Social Media|Analytics,Creativity

PG,MCA,Software Engineer,Java|Python|Databases|DSA,Logical Thinking
PG,MCA,System Analyst,System Design|UML|Databases,Analytical Thinking
PG,MBA,Business Analyst,Excel|Power BI|Business Strategy,Decision Making
PG,MBA,HR Analyst,HR Analytics|Excel|Reporting,People Skills
PG,M.Sc,Research Associate,Research Methods|Data Analysis|Reporting,Critical Thinking
PG,M.Tech,Data Engineer,SQL|ETL|Big Data|Spark,System Thinking
